user,created_at,text
ilhamdatha,Sat Oct 21 22:51:39 +0000 2017,"Menjadi santri adalah meneladani Indonesia. Termasuk, ndherek dawuh dan ngangsu ilmu kepada? https://t.co/9A4acjAF8q"
ReinaAmelia,Sat Oct 21 22:29:01 +0000 2017,With Vena and Toriq at SMP Islam Al Azhar 29 BSB ? https://t.co/4RVA3Fhnoh
eLLakOEn,Sat Oct 21 22:22:28 +0000 2017,At Gereja Katedral - Santa Perawan Maria Ratu Rosario Suci [pic] ? https://t.co/zkHjWNDTDg
rzkkhoirunnisa,Sat Oct 21 21:53:24 +0000 2017,percayalah kita itu pendiam ? @ Warung Upnormal Semarang https://t.co/v8cl4P7BiZ
SemarangID,Sat Oct 21 21:04:40 +0000 2017,"at 4:04am:
few clouds -&gt; clear sky
temperature down 19?C -&gt; 18?C"
inuk_blazer,Sat Oct 21 19:09:27 +0000 2017,Listen To Your Heart (Live from Santiago 2012) by Roxette (at Noormans Hotel Semarang) ? https://t.co/1x6WUWlUab
AnggietWyka,Sat Oct 21 18:46:45 +0000 2017,At @kfcindonesia ? https://t.co/1O6VkYfds1
muftidakota,Sat Oct 21 18:44:09 +0000 2017,With Eva and Aziiee at Wishbone Bar ? https://t.co/TT8RcDLAlC
hendhans,Sat Oct 21 18:43:30 +0000 2017,"(5)
Graduation ceremony ?
Dia adalah salah satu orang yang sudah mensupport dalam pengerjaan? https://t.co/uquMLxC3qV"
hendhans,Sat Oct 21 18:40:44 +0000 2017,"(4)
Graduation ceremony
Partner in crime. Dia juga salah satu orang yg selalu memberi support? https://t.co/ByOVqUyUXg"
hendhans,Sat Oct 21 18:36:28 +0000 2017,"(3)
Graduation ceremony ?
Dia sudah aku anggap sebagai kakak yg selalu saling support satu sama? https://t.co/T8gijv4dvC"
hendhans,Sat Oct 21 18:33:27 +0000 2017,"(2)
Graduation ceremony ?
Partner in crime selama mengerjakan skripsi ? #wisuda #unipma? https://t.co/1DvqAy4f57"
prina_anggita,Sat Oct 21 18:22:20 +0000 2017,At Ibis Hotel ? https://t.co/dPMVQw66H3
emajpp,Sat Oct 21 18:14:56 +0000 2017,"""Well let us realize that a change can only come, When we stand together as one."" -We Are The? https://t.co/jY3U4dIqR2"
NhuryBeatjunk,Sat Oct 21 18:11:00 +0000 2017,At E-Lounge ? https://t.co/BYKh1AScj0
emajpp,Sat Oct 21 17:59:23 +0000 2017,"""Well let us realize that a change can only come, When we stand together as one."" -We Are The? https://t.co/vZtkAKOeSV"
emajpp,Sat Oct 21 17:52:03 +0000 2017,"""Well let us realize that a change can only come, When we stand together as one."" -We Are The? https://t.co/xc3kHa01G0"
emajpp,Sat Oct 21 17:43:22 +0000 2017,"""Well let us realize that a change can only come, When we stand together as one."" -We Are The? https://t.co/gdV6pVcop3"
Mh_Elbiy,Sat Oct 21 17:38:57 +0000 2017,"Selamat hari santri [ Zaman now ] 
Semoga kita selalu bisa menjaga adab dan tata krama,? https://t.co/ocA44kD06J"
_indahwulansari,Sat Oct 21 17:14:34 +0000 2017,With sheryl at Sma N 11 Semarang [vid] ? https://t.co/Nvy6WmM7Ne
yoga_ganang,Sat Oct 21 17:04:20 +0000 2017,At Kopi Klothok Pak Sadar Ungaran [pic] ? https://t.co/UMVvfHiE9I
SemarangID,Sat Oct 21 16:58:59 +0000 2017,"temperature down 25?C -&gt; 19?C
humidity up 88% -&gt; 100%"
R_dibesarin,Sat Oct 21 16:34:54 +0000 2017,"APAKAH pemimpin harus tinggi, berkulit putih, tajir, berjalan tegap, sexy, bodygoals dan? https://t.co/y2LJ0YF6TH"
mansyur_ali,Sat Oct 21 16:26:55 +0000 2017,"Keringat malam.. 
#specs 
#rowndvsn @ Master Futsal Stadium,Mranggen https://t.co/ibgeGQlIE6"
sieboyputra,Sat Oct 21 16:15:13 +0000 2017,At Markaz Bar &amp; Kitchen ? https://t.co/3nD0FBozsj
raden_pur,Sat Oct 21 16:13:50 +0000 2017,At @mykopio ? https://t.co/x3K1EP96nS
aziezleo,Sat Oct 21 16:13:18 +0000 2017,"Satnight with little family ????

#satnight #love #family #instagram #instalike #linstamood? https://t.co/ilP90qtXiZ"
Naqoy,Sat Oct 21 16:13:00 +0000 2017,"1. Para santri dari tiga provinsi berkumpul yaitu dari Jawa Timur, Jawa Tengah dan DIY untuk? https://t.co/xV4Innlhjp"
SompretID,Sat Oct 21 16:11:32 +0000 2017,"Life is short, time is fast, no replay, no rewind. So enjoy every moment as it comes ? @ Banyumanik https://t.co/Ia1DwqB3Bt"
akriswanto,Sat Oct 21 16:00:50 +0000 2017,"With Rico at Han's kopi Peleburan , Semarang ? https://t.co/Fl2xjZ7whW"
TARYOKOLANJAR,Sat Oct 21 15:59:22 +0000 2017,Terima kasih #bluesky grandedgehotel . Selamat atas soft opening ini... viewnya bagus bangettt..? https://t.co/golXjeuOxq
martinsilalahi,Sat Oct 21 15:53:53 +0000 2017,"With Maqin, Yosie, and Nia at UTC Convention Hotel Semarang [pic] ? https://t.co/LmbQRFtRrN"
Cla_tweets,Sat Oct 21 15:50:07 +0000 2017,"Some women fear the fire
Some women simply become it 
? #LieGirlsSquad

Happy birthday? https://t.co/HKzyP4taDX"
fadhil_gaza,Sat Oct 21 15:43:25 +0000 2017,At Hall Room Hotel UTC Semarang [vid] ? https://t.co/yBnJyyQH9t
RonaldoRaimon,Sat Oct 21 15:41:45 +0000 2017,At Ferris Club Wheel And Coffee Citra Grand City Of Festival ? https://t.co/iaH5XtPlVF
14rindra,Sat Oct 21 15:40:25 +0000 2017,At Eat Boss ? https://t.co/HHfTYnv7AF
Anyun23,Sat Oct 21 15:27:35 +0000 2017,At @transmartcarre4 ? https://t.co/shh7toPVQb
aphgan,Sat Oct 21 15:24:36 +0000 2017,"Weddanniversary H+1 
Simple, ga pake lilin ato bunga yang penting bareng

#starbucksindonesia? https://t.co/Sa3MM5dc4z"
drinkyourtea_,Sat Oct 21 15:22:47 +0000 2017,"??? ????~~ ??? 

Artinya : biar jelek asal ngehitzzzz ??? @ Bigbox one stop culinary spot https://t.co/L66i0DmCNH"
ninna_izwan,Sat Oct 21 15:20:40 +0000 2017,"Roadshow Exhibition New MU-X 2017 #part2 ???
.
.
.
.
.
#mc #masterofceremony #mcsemarang? https://t.co/kY3knWEKLj"
haniaa_,Sat Oct 21 15:19:45 +0000 2017,"Kembali ke tempat yg sama, dengan orang yg sama dan (masih) dengan perasaan yg sama ? *apasih? https://t.co/sbCGRWXKwO"
osieosdunkz,Sat Oct 21 15:19:11 +0000 2017,With Ery at @mukticafe ? https://t.co/XoVbHFLLa3
Riz_Evans,Sat Oct 21 15:07:02 +0000 2017,At Warung kopi taman kb ? https://t.co/XeLa5fGtNh
watie_guptadi,Sat Oct 21 15:06:06 +0000 2017,At Simpang Lima Semarang [vid] ? https://t.co/AhZDU0CYuQ
Febrian17Kevin,Sat Oct 21 15:00:22 +0000 2017,"Musuh terbesar rindu itu bukan jarak,tapi gengsi @ Louis Kienne? https://t.co/q4EiQhxnCL"
Febrian17Kevin,Sat Oct 21 15:00:22 +0000 2017,"Musuh terbesar rindu itu bukan jarak,tapi gengsi @ Louis Kienne? https://t.co/q4EiQhxnCL"
UlgadUngaran,Sat Oct 21 14:54:56 +0000 2017,"CALCIO DAY !!!
FOOTBALL FAMILY 
-
FRIENDLY MATCH ?
? MIs089 vs M FC
? Minggu 22 Oktober '17
?? https://t.co/FyvWOE9DHR"
watie_guptadi,Sat Oct 21 14:54:56 +0000 2017,naek becak...siliiiiirrrrr ? @ Simpang Lima Semarang https://t.co/mqH6TYVJWA
yudhi_gunners,Sat Oct 21 14:53:45 +0000 2017,At Scoops &amp; My Story Bistro ? https://t.co/n3OdWcbnoe
ariefsetyo,Sat Oct 21 14:49:53 +0000 2017,"With MM, Mardhy, and 2 others at Seafood NGGEMESKE Kerang &amp; Kepiting ? https://t.co/u6HlLj1Nwy"
NurFaiq13,Sat Oct 21 14:47:26 +0000 2017,At Spesial Jagung Bakar Serut Modern ? https://t.co/4xtSKphxM3
UlgadUngaran,Sat Oct 21 14:44:01 +0000 2017,"?? MILAN DAY !!!
Serie A Giornata 9?
-
AC MILAN vs GENOA
? Minggu 22 Oktober 2017
? OG.19:30? https://t.co/9J5uqjzqQg"
melindaafn,Sat Oct 21 14:40:46 +0000 2017,With Fenty Dwi at @clsemarang ? https://t.co/Ix3YJlhSFK
pradirgo,Sat Oct 21 14:37:14 +0000 2017,At @semarangnovotel ? https://t.co/YFdXkKsDFY
aburamiza,Sat Oct 21 14:34:12 +0000 2017,"Butuhnya manusia akan ilmu 
#ilmu #pentingnyailmu #menuntutilmusyari @ Karangmanyar, Kalimanah,? https://t.co/EUXyKa49YF"
westu_an_angel,Sat Oct 21 14:31:25 +0000 2017,"With Ibnu, Retno, and 2 others at @transmartcarre4 [pic] ? https://t.co/roYkNI53IN"
anatolyafitri,Sat Oct 21 14:30:52 +0000 2017,"Just posted a photo @ Pantai Sadranan,Yogyakarta https://t.co/1n6qUJVXiy"
aburamiza,Sat Oct 21 14:24:42 +0000 2017,"Butuh keteladanan 
#anak #pendidikananak #tarbiyatulaulad #mendidikanak @ Karangmanyar,? https://t.co/7AuMeiGKCe"
lup_pi,Sat Oct 21 14:22:25 +0000 2017,Watching Geostorm (with Andrea and Marshela at E-Plaza cinema) ? https://t.co/p1k3CDQl1i
EWINK_IMMANUEL,Sat Oct 21 14:21:44 +0000 2017,"Tugas hari ini
Was done ? @ Pudakpayung-Kulon, Jawa Tengah, Indonesia https://t.co/SG0Zvl0NF9"
NurFaiq13,Sat Oct 21 14:20:27 +0000 2017,At Sate Kambing &amp; Bistik Pak Man ? https://t.co/fQwvcSwfIC
AqsalsaSS,Sat Oct 21 14:10:57 +0000 2017,With cibi at @kfcindonesia ? https://t.co/oUmFKz6Cdp
iqbal_dawn,Sat Oct 21 14:10:25 +0000 2017,"Bumbu candaan ??? by fajarwijianto ???
.
.
.
#komikinajah @ Universitas Negeri Semarang [UNNES] https://t.co/HjhlxGo1jv"
AqsalsaSS,Sat Oct 21 14:09:57 +0000 2017,With cibi at Food Fair ? https://t.co/pJHbh7TNpA
Rizald_Diiee,Sat Oct 21 14:08:44 +0000 2017,At ?????????? ? https://t.co/vnESbtdhRN
feimaintan,Sat Oct 21 14:06:00 +0000 2017,"Candu ? @ Pantai Sadranan,Yogyakarta https://t.co/KEoBYItWf3"
MSMujab22,Sat Oct 21 14:03:48 +0000 2017,"Saya Mujab, ulang tahun ke-22 ini saya ingin mengajak kamu semua mempersembahkan hadiah lapangan? https://t.co/ua5TSx5YQV"
AqsalsaSS,Sat Oct 21 14:01:34 +0000 2017,With cibi at Johnny Andrean Salon ? https://t.co/azQcj3SjKU
AqsalsaSS,Sat Oct 21 13:59:47 +0000 2017,With cibi at Gelael Supermarket ? https://t.co/R8kMawlT45
infokampusnews,Sat Oct 21 13:59:41 +0000 2017,".
Keren! Robot Terbang Mahasiswa UNNES Ini SIap Berkompetisi di Ajang KRTI 2017

https://t.co/P3WXuWRZlo? https://t.co/nXvmcsPJBS"
AqsalsaSS,Sat Oct 21 13:57:16 +0000 2017,With cibi at @clsemarang ? https://t.co/qA1E8Jy738
estywiha,Sat Oct 21 13:56:36 +0000 2017,At Joy Juice Bar &amp; Coffee [pic] ? https://t.co/dp96ma1T6c
kjuliaaa_,Sat Oct 21 13:55:46 +0000 2017,At Papan Kitchen &amp; Co-Working ? https://t.co/OiDqYM2TNs
Rizky059,Sat Oct 21 13:52:29 +0000 2017,Don't cry about love https://t.co/5j5hVucdHS
novitanissa,Sat Oct 21 13:52:02 +0000 2017,At @blackbonecoffee ? https://t.co/PiLUfin4dH
RaRatihSamboja,Sat Oct 21 13:47:49 +0000 2017,"Suka nonton drama korea tu bikin galau deh ? pas perannya tentara, jd pengen punya pacar tentara? https://t.co/B4R1ajfaNf"
stefanivina,Sat Oct 21 13:43:10 +0000 2017,At Nasi Ayam Kremes Pak Bambang ? https://t.co/8AZajIOcYq
DinQo,Sat Oct 21 13:37:35 +0000 2017,"With anggakusumadewi, Zenita, and Galih at Hanamasa - Semarang [pic] ? https://t.co/QAKaofmZxa"
abdul421s,Sat Oct 21 13:33:17 +0000 2017,"The greatest adventure is what lies ahead. Never give up ?
.
.
#selfreminder #quotesoftheday? https://t.co/2VJVNTGO3Q"
vithasyarii,Sat Oct 21 13:25:55 +0000 2017,At Han's kopi ? https://t.co/jhmv6Fisw7
adhitia1897,Sat Oct 21 13:23:51 +0000 2017,Seeeeppiii...Huft
Rara_IQ,Sat Oct 21 13:22:08 +0000 2017,With nothing at KFC [pic] ? https://t.co/drIL6jyeNv
rickyjayas,Sat Oct 21 13:21:37 +0000 2017,At Starbucks Ciputra Semarang [pic] ? https://t.co/wiI1ktl2cK
megaadeliam,Sat Oct 21 13:19:30 +0000 2017,With Desy at Mie Clubbing ? https://t.co/HlJiUT35RW
reza_devani,Sat Oct 21 13:19:14 +0000 2017,selamat hari santri @ Jl.pahlawan Kawawan Simpang Lima Semarang https://t.co/InLTWKIx4C
wigRahman,Sat Oct 21 13:13:15 +0000 2017,At Home Sinar Puspita [pic] ? https://t.co/mcoJFwrRQO
gokilz007,Sat Oct 21 13:09:20 +0000 2017,With Reni at Alun-Alun Simpang Lima Semarang [pic] ? https://t.co/Ocrs05ck6h
Alitamey,Sat Oct 21 13:03:54 +0000 2017,With rivadamarahdiat and Dirgantara at Pondok Kopi Umbul Sidomukti [pic] ? https://t.co/V9XC9FuARQ
habibrchmn,Sat Oct 21 13:01:25 +0000 2017,#harisantri2017 #simpanglima #semarang #keyboard @ Simpang Lima Semarang https://t.co/qBz2OSIOtF
pman_FTD,Sat Oct 21 12:54:50 +0000 2017,"Re [ lax ]
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#instagood #instalike #instanusantara #instamood #tbt? https://t.co/DfBrynREuI"
uzirock13oy,Sat Oct 21 12:38:02 +0000 2017,"With rizqi, Natalia, and Indah at Eling Bening Resto And Cafe [pic] ? https://t.co/QhhETtW0iy"
LalaLaksita,Sat Oct 21 12:33:34 +0000 2017,With fardilla at Hall Room Hotel UTC Semarang [pic] ? https://t.co/az9Ad2cPa2
RomoFarano,Sat Oct 21 12:31:27 +0000 2017,At Monodhuis [pic] ? https://t.co/rCZUXDyq2Y
yulindatw,Sat Oct 21 12:31:05 +0000 2017,"Banyak cerita 3 bulan disini, walaupun kerjaan seabreg...
.
entah? https://t.co/VeU1YgXeBh"
afnimudz,Sat Oct 21 12:29:37 +0000 2017,"Road to HSN 2017, with RM Squad ?
.
ponpesaskhabulkahfi
@alasantri? https://t.co/wN9pmJOqne"
ayuariana_r,Sat Oct 21 12:25:28 +0000 2017,"""Tetaplah bahagia meski kita harus lebih banyak menabung rindu yang terasa"" @ Transmart Setia? https://t.co/EBLqL3vxkX"
ayuariana_r,Sat Oct 21 12:18:02 +0000 2017,"""Tetaplah bahagia meski kita harus lebih banyak menabung rindu yang terasa"" @ Transmart Setia? https://t.co/3PpQZ8BZzi"
Septian_Dwi_R,Sat Oct 21 12:16:47 +0000 2017,"Aku masih seperti yang dulu...
Menunggumu sampai akhir hidupku...
Kesetiaanku tak luntur...
Hati? https://t.co/7IjpB8HtBP"
anndts,Sat Oct 21 12:13:31 +0000 2017,#tumblrday2 ?? (@ Starbucks Mall Ciputra) https://t.co/Xo3nux5f1H https://t.co/Eo5sFjytET
Nannraa,Sat Oct 21 12:12:26 +0000 2017,"Selamat malam Indonesia!

Tidak terasa Semarak Indonesia tinggal 7 hari lagi. ???
Masih ada? https://t.co/D8TjfPjUcR"
anggakba,Sat Oct 21 12:07:17 +0000 2017,With Lina at H?agen Dazs [vid] ? https://t.co/ontL7FovsU
nurrmacmudi,Sat Oct 21 12:05:57 +0000 2017,At BSB City [pic] ? https://t.co/890areaTU9
anggakba,Sat Oct 21 12:05:55 +0000 2017,With Lina at @paragonsemarang ? https://t.co/C2wH61umQF
PritaniaDA,Sat Oct 21 12:02:07 +0000 2017,"With Naily, Nafa, and 2 others at Kopi Mendhut ? https://t.co/xjZaTW1ITm"
legendsemarang,Sat Oct 21 12:01:18 +0000 2017,"[ OFFICIAL TIKETBOX]
?
LAWBILLITY #2 INNOSENSE
Are you ready for Lawbillity#2 ?
? Guest Stars? https://t.co/hqFLIAgBqi"
Rhenny_NR,Sat Oct 21 11:50:32 +0000 2017,"With Immanuel, BossDN, and Nyonya DN at Angkringan Polke ? https://t.co/6DqNGKLkLq"
Ilhamyhy12,Sat Oct 21 11:49:53 +0000 2017,"Keluarga tak perlu sedarah ?
Kami disatukan oleh jarak, iya jarak, jarak kita terhadap keluarga? https://t.co/HV0M1vXMG4"
astuti_purwa,Sat Oct 21 11:48:25 +0000 2017,"Kerjaan kalo lagi gabut di sela-sela praktikum mikrobiologi *ehh ??
#ltpstd @ Laboratorium? https://t.co/R7k3QXgNUr"
joDickyjo,Sat Oct 21 11:44:17 +0000 2017,"Ratu yang diangkat ke surga doakanlah kami
#katolik #katolikindonesia #goamaria #goamariakerep? https://t.co/MwNwMNfq0D"
KiddrockDavid,Sat Oct 21 11:36:57 +0000 2017,"Terimakasih kedua orangtuaku untuk suport dan semua yang telah kalian berikan, semoga aku bisa? https://t.co/JJvWslNKXG"
DzakyTalikolor,Sat Oct 21 11:36:54 +0000 2017,"Cuma olahraga kok ?
#muaythai #fightermuaythai #nagaulung @? https://t.co/IJFcBaG22p"
de_vijnt,Sat Oct 21 11:36:35 +0000 2017,"I'm at Ahmad Yani International Airport - @srg_ap1 in Semarang, Jawa Tengah https://t.co/O0w2kW1Fkn"
anggo15,Sat Oct 21 11:33:39 +0000 2017,"Terkadang yang susah dilupain malah udah bahagia sama yang lain~ ??
.
.
in frame : febrip56? https://t.co/nyVSgEsGY6"
mungkiyogos,Sat Oct 21 11:26:06 +0000 2017,Maghrib di Jatisari @ Lapangan Jatisari Mijen Semarang https://t.co/bfdBPjdP2d
kjuliaaa_,Sat Oct 21 11:16:32 +0000 2017,At Gold's Gym Mall Ciputra ? https://t.co/r635M2j7nS
nindarachma17,Sat Oct 21 11:13:52 +0000 2017,Meninggalkan semua kenangan disini  ?? @ Tarubudaya Ungaran https://t.co/k6iJmrhG2g
bangkitandry,Sat Oct 21 11:13:48 +0000 2017,With Frieda at @sbuxindonesia ? https://t.co/MT8nLck90i
4metZ,Sat Oct 21 11:07:17 +0000 2017,Another Trip for 1st day @ Lawang Sewu https://t.co/eWXWUEPY1e
Zhanto_Moyzrano,Sat Oct 21 11:01:43 +0000 2017,"Thx, cause has colored this video.
So many experience in 2k17,
And still continued,- @ Life? https://t.co/QDsoW5eAmO"
Liviaivi_,Sat Oct 21 10:58:46 +0000 2017,At @transmartcarre4 ? https://t.co/g6sTISk2mp
kikyristi,Sat Oct 21 10:58:40 +0000 2017,"Gabut pas seminar tadi pagi,?
.
.
.
#mahasiswa #mahasiswasmg #mahasiswaupgris #hidupmahasiswa? https://t.co/9GB48tLPqI"
novidarahma,Sat Oct 21 10:36:24 +0000 2017,With you at Arfa barbershop ? https://t.co/xX0EQhPwi8
SemarangID,Sat Oct 21 10:35:02 +0000 2017,"current weather in Semarang: few clouds, 25?C
88% humidity, wind 1kmh, pressure 976mb"
reza_devani,Sat Oct 21 10:33:50 +0000 2017,At Jl. Hawa Semarang ? https://t.co/sf0Sur8W4p
SemarangID,Sat Oct 21 10:31:02 +0000 2017,5:31pm: sunset
Daaanti,Sat Oct 21 10:29:43 +0000 2017,Whatcha gon watcha gonna do with that dessert ?? @ De Meat Steak https://t.co/ikMU5WgSZu
